id,label,timeset,weight<links>,weight<citations>,cluster,url,score<pub._year>,score<norm._citations>,weight<norm._citations>,weight<total_link_strength>,score<citations>,description
18.0,fouquet (2001),,6.0,33.0,5.0,http://dx.doi.org/10.3763/cpol.2001.0120,2001.0,0.5708,0.5708,6.0,33.0,"<table><tr><td>Authors:</td><td>fouquet, r; grimston, mc; karakoussis, v; leach, m; pearson, p; van der vorst, r</td></tr><tr><td>Title:</td><td>the european and global potential of carbon dioxide sequestration in tackling climate change</td></tr><tr><td>Source:</td><td>climate policy, 1(2), 155-171</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
19.0,bachu (2003),,3.0,44.0,5.0,,2003.0,0.5479,0.5479,7.0,44.0,"<table><tr><td>Authors:</td><td>bachu, s; shaw, j</td></tr><tr><td>Title:</td><td>evaluation of the co2 sequestration capacity in alberta's oil and gas reservoirs at depletion and the effect of underlying aquifers</td></tr><tr><td>Source:</td><td>journal of canadian petroleum technology, 42(9), 51-61</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"
23.0,lam (2001),,35.0,14.0,2.0,,2001.0,0.2421,0.2421,49.0,14.0,"<table><tr><td>Authors:</td><td>lam, pj; morell, fmm; tortell, pd</td></tr><tr><td>Title:</td><td>differential effects of iron additions on organic and inorganic carbon production by phytoplankton</td></tr><tr><td>Source:</td><td>limnology and oceanography, 46(5), 1199-1202</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
28.0,baddeley (2005),,52.0,114.0,3.0,http://dx.doi.org/10.1016/j.geoderma.2004.12.020,2005.0,2.1038,2.1038,138.0,114.0,"<table><tr><td>Authors:</td><td>baddeley, ja; bingham, ij; rees, rm; watson, ca</td></tr><tr><td>Title:</td><td>the role of plants and land management in sequestering soil carbon in temperate arable and grassland ecosystems</td></tr><tr><td>Source:</td><td>geoderma, 128(1-2), 130-154</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"
29.0,krcmar-nozic (2000),,17.0,26.0,1.0,,2000.0,0.1841,0.1841,50.0,26.0,"<table><tr><td>Authors:</td><td>krcmar-nozic, e; stennes, b; van gorkom, r; van kooten, gc</td></tr><tr><td>Title:</td><td>economics of afforestation for carbon sequestration in western canada</td></tr><tr><td>Source:</td><td>forestry chronicle, 76(1), 165-172</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"
32.0,[anonymous] (2001),,34.0,0.0,2.0,,2001.0,0.0,0.0,53.0,0.0,"<table><tr><td>Authors:</td><td>[anonymous]</td></tr><tr><td>Title:</td><td>iron fertilization and the indian ocean</td></tr><tr><td>Source:</td><td>south african journal of science, 97(3-4), 118-118</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
34.0,bishop (2004),,47.0,74.0,2.0,http://dx.doi.org/10.1126/science.1087717,2004.0,0.6562,0.6562,80.0,74.0,"<table><tr><td>Authors:</td><td>bishop, jkb; davis, re; sherman, jt; wood, tj</td></tr><tr><td>Title:</td><td>robotic observations of enhanced carbon biomass and export at 55 degrees s during sofex</td></tr><tr><td>Source:</td><td>science, 304(5669), 417-420</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"
37.0,johnson (2002),,40.0,17.0,2.0,,2002.0,0.441,0.441,44.0,17.0,"<table><tr><td>Authors:</td><td>johnson, ks; karl, dm</td></tr><tr><td>Title:</td><td>is ocean fertilization credible and creditable?</td></tr><tr><td>Source:</td><td>science, 296(5567), 467-467</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"
41.0,cullen (1995),,41.0,76.0,2.0,,1995.0,2.5792,2.5792,153.0,76.0,"<table><tr><td>Authors:</td><td>cullen, jj</td></tr><tr><td>Title:</td><td>status of the iron hypothesis after the open-ocean enrichment experiment</td></tr><tr><td>Source:</td><td>limnology and oceanography, 40(7), 1336-1343</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"
44.0,bidigare (1999),,48.0,112.0,2.0,,1999.0,2.9145,2.9145,226.0,112.0,"<table><tr><td>Authors:</td><td>bidigare, rr; cavender-bares, kk; chisholm, sw; mann, el; ondrusek, me</td></tr><tr><td>Title:</td><td>differential response of equatorial pacific phytoplankton to iron fertilization</td></tr><tr><td>Source:</td><td>limnology and oceanography, 44(2), 237-246</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"
45.0,krom (2005),,45.0,41.0,2.0,http://dx.doi.org/10.1016/j.dsr2.2005.08.015,2005.0,0.7566,0.7566,109.0,41.0,"<table><tr><td>Authors:</td><td>krom, md; mantoura, rfc; polychronaki, t; psarra, s; stambler, n; tanaka, t; thingstad, tf; tselepides, a; zohary, t</td></tr><tr><td>Title:</td><td>phytoplankton response to a lagrangian phosphate addition in the levantine sea (eastern mediterranean)</td></tr><tr><td>Source:</td><td>deep-sea research part ii-topical studies in oceanography, 52(22-23), 2944-2960</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"
47.0,boer (2001),,6.0,0.0,4.0,http://dx.doi.org/10.1023/a:1013387305062,2001.0,0.0,0.0,7.0,0.0,"<table><tr><td>Authors:</td><td>boer, r.</td></tr><tr><td>Title:</td><td>economic assessment of mitigation options for enhancing and maintaining carbon sink capacity in indonesia</td></tr><tr><td>Source:</td><td>mitigation adapt. strateg. global change, 6, 257-290</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
48.0,elliott (2004),,53.0,16.0,2.0,http://dx.doi.org/10.1029/2000jc000321,2004.0,0.1419,0.1419,101.0,16.0,"<table><tr><td>Authors:</td><td>elliott, b; matear, rj</td></tr><tr><td>Title:</td><td>enhancement of oceanic uptake of anthropogenic co2 by macronutrient fertilization</td></tr><tr><td>Source:</td><td>journal of geophysical research-oceans, 109(c4)</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"
49.0,chen (2001),,38.0,624.0,1.0,http://dx.doi.org/10.1126/science.1058629,2001.0,10.7925,10.7925,75.0,624.0,"<table><tr><td>Authors:</td><td>chen, ap; ci, l; fang, jy; peng, ch; zhao, sq</td></tr><tr><td>Title:</td><td>changes in forest biomass carbon storage in china between 1949 and 1998</td></tr><tr><td>Source:</td><td>science, 292(5525), 2320-2322</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
50.0,michaelis (1982),,9.0,0.0,4.0,http://dx.doi.org/10.1179/isr.1982.7.3.162,1982.0,1.0,1.0,102.0,0.0,"<table><tr><td>Authors:</td><td>michaelis, a, r.</td></tr><tr><td>Title:</td><td>the progress of agriculture</td></tr><tr><td>Source:</td><td>interdiscip. sci. rev., 7, 162-162</td></tr><tr><td>Year:</td><td>1982</td></tr></table>"
54.0,legendre (2005),,39.0,16.0,2.0,http://dx.doi.org/10.1029/2004jc002530,2005.0,0.2953,0.2953,66.0,16.0,"<table><tr><td>Authors:</td><td>legendre, l; rivkin, rb</td></tr><tr><td>Title:</td><td>integrating functional diversity, food web processes, and biogeochemical carbon fluxes into a conceptual approach for modeling the upper ocean in a high-co2 world</td></tr><tr><td>Source:</td><td>journal of geophysical research-oceans, 110(c9)</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"
55.0,sullivan (2004),,24.0,47.0,2.0,http://dx.doi.org/10.1029/2003jc001767,2004.0,0.4168,0.4168,46.0,47.0,"<table><tr><td>Authors:</td><td>sullivan, kf; top, z; wanninkhof, r</td></tr><tr><td>Title:</td><td>air-sea gas transfer in the southern ocean</td></tr><tr><td>Source:</td><td>journal of geophysical research-oceans, 109(c8)</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"
57.0,niskanen (1997),,8.0,0.0,4.0,http://dx.doi.org/10.1080/02688867.1997.9727058,1997.0,0.0,0.0,15.0,0.0,"<table><tr><td>Authors:</td><td>niskanen, a.</td></tr><tr><td>Title:</td><td>economic profitability of afforestation in thailand and the philippines</td></tr><tr><td>Source:</td><td>proj. appraisal, 12, 193-203</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"
59.0,nilsson (1995),,61.0,105.0,1.0,http://dx.doi.org/10.1007/bf01091928,1995.0,3.5633,3.5633,147.0,105.0,"<table><tr><td>Authors:</td><td>nilsson, s; schopfhauser, w</td></tr><tr><td>Title:</td><td>the carbon-sequestration potential of a global afforestation program</td></tr><tr><td>Source:</td><td>climatic change, 30(3), 267-293</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"
60.0,cui (2005),,21.0,0.0,4.0,,2005.0,0.0,0.0,49.0,0.0,"<table><tr><td>Authors:</td><td>cui, l.; gao, z.; liu, j.; shi, j.</td></tr><tr><td>Title:</td><td>a review on the influence of afforestation on soil carbon storage</td></tr><tr><td>Source:</td><td>chinese j. ecol., 24, 410-416</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"
64.0,gustavsson (2003),,3.0,22.0,5.0,http://dx.doi.org/10.1016/s0360-5442(03)00126-9,2003.0,0.2739,0.2739,3.0,22.0,"<table><tr><td>Authors:</td><td>gustavsson, l; madlener, r</td></tr><tr><td>Title:</td><td>co2 mitigation costs of large-scale bioenergy technologies in competitive electricity markets</td></tr><tr><td>Source:</td><td>energy, 28(14), 1405-1425</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"
65.0,weber (1993),,1.0,0.0,4.0,http://dx.doi.org/10.1007/bf01105005,1993.0,0.0,0.0,1.0,0.0,"<table><tr><td>Authors:</td><td>weber, m.</td></tr><tr><td>Title:</td><td>present role of german forests and forestry in the national carbon budget and options to its increase</td></tr><tr><td>Source:</td><td>water air soil pollut, 70, 325-340</td></tr><tr><td>Year:</td><td>1993</td></tr></table>"
66.0,gozalpour (2005),,1.0,80.0,5.0,http://dx.doi.org/10.2516/ogst:2005036,2005.0,1.4763,1.4763,2.0,80.0,"<table><tr><td>Authors:</td><td>gozalpour, f; ren, sr; tohidi, b</td></tr><tr><td>Title:</td><td>co2 eor and storage in oil reservoirs</td></tr><tr><td>Source:</td><td>oil & gas science and technology-revue d ifp energies nouvelles, 60(3), 537-546</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"
67.0,rykowski (1999),,8.0,0.0,4.0,,1999.0,0.0,0.0,10.0,0.0,"<table><tr><td>Authors:</td><td>rykowski, k.</td></tr><tr><td>Title:</td><td>assessment of the importance of forests in reducing global climatic change (counteracting and mitigating the impacts of greenhouse gases)</td></tr><tr><td>Source:</td><td>geogr. pol., 72, 41-43</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"
73.0,wu (2004),,14.0,0.0,4.0,,2004.0,0.0,0.0,32.0,0.0,"<table><tr><td>Authors:</td><td>wu, j.; xu, d.; zhang, x.</td></tr><tr><td>Title:</td><td>impact of land-use change on soil carbon storage</td></tr><tr><td>Source:</td><td>chin. j. appl. ecol., 15, 593-599</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"
77.0,khanna (2002),,12.0,0.0,4.0,http://dx.doi.org/10.1016/s0378-1127(01)00740-x,2002.0,0.0,0.0,44.0,0.0,"<table><tr><td>Authors:</td><td>khanna, p, k.; nyakuengama, j, g.; paul, k, i.; polglase, p, j.</td></tr><tr><td>Title:</td><td>change in soil carbon following afforestation</td></tr><tr><td>Source:</td><td>for. ecol. manage., 168, 241-257</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"
78.0,bange (2005),,19.0,15.0,2.0,http://dx.doi.org/10.1029/2005gl024619,2005.0,0.2768,0.2768,26.0,15.0,"<table><tr><td>Authors:</td><td>bange, hw; lochte, k; peeken, i; walter, s; webb, a</td></tr><tr><td>Title:</td><td>nitrous oxide measurements during eifex, the european iron fertilization experiment in the subpolar south atlantic ocean</td></tr><tr><td>Source:</td><td>geophysical research letters, 32(23)</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"
79.0,lermit (2005),,2.0,30.0,5.0,http://dx.doi.org/10.1016/j.energy.2004.07.003,2005.0,0.5536,0.5536,2.0,30.0,"<table><tr><td>Authors:</td><td>lermit, j; read, p</td></tr><tr><td>Title:</td><td>bio-energy with carbon storage (becs): a sequential decision approach to the threat of abrupt climate change</td></tr><tr><td>Source:</td><td>energy, 30(14), 2654-2671</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"
80.0,boyd (2005),,50.0,48.0,2.0,http://dx.doi.org/10.1029/2005gl023180,2005.0,0.8858,0.8858,178.0,48.0,"<table><tr><td>Authors:</td><td>boyd, pw; jackson, ga; waite, am</td></tr><tr><td>Title:</td><td>role of algal aggregation in vertical carbon export during soiree and in other low biomass environments</td></tr><tr><td>Source:</td><td>geophysical research letters, 32(13)</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"
82.0,aono (2005),,52.0,6.0,2.0,http://dx.doi.org/10.1016/j.pocean.2005.02.013,2005.0,0.1107,0.1107,162.0,6.0,"<table><tr><td>Authors:</td><td>aono, t; imai, k; kudo, i; nojiri, y; tsuda, a; yamada, m</td></tr><tr><td>Title:</td><td>export fluxes of particulate organic carbon estimated from th-234/u-238 disequilibrium during the subarctic pacific iron experiment for ecosystem dynamics study (seeds 2001)</td></tr><tr><td>Source:</td><td>progress in oceanography, 64(2-4), 263-282</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"
83.0,imai (2005),,54.0,13.0,2.0,http://dx.doi.org/10.1016/j.pocean.2005.02.009,2005.0,0.2399,0.2399,195.0,13.0,"<table><tr><td>Authors:</td><td>imai, k; kudo, i; nishioka, j; noiri, y; nojiri, y; tsuda, a</td></tr><tr><td>Title:</td><td>primary productivity and nitrogenous nutrient assimilation dynamics during the subarctic pacific iron experiment for ecosystem dynamics study</td></tr><tr><td>Source:</td><td>progress in oceanography, 64(2-4), 207-221</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"
84.0,hinuma (2005),,54.0,46.0,2.0,http://dx.doi.org/10.1016/j.pocean.2005.02.007,2005.0,0.8489,0.8489,209.0,46.0,"<table><tr><td>Authors:</td><td>hinuma, a; kiyosawa, h; liu, hb; saino, t; saito, h; suzuki, k; tsuda, a</td></tr><tr><td>Title:</td><td>responses of phytoplankton and heterotrophic bacteria in the northwest subarctic pacific to in situ iron fertilization as estimated by hplc pigment analysis and flow cytometry</td></tr><tr><td>Source:</td><td>progress in oceanography, 64(2-4), 167-187</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"
85.0,kiyosawa (2005),,51.0,24.0,2.0,http://dx.doi.org/10.1016/j.pocean.2005.02.006,2005.0,0.4429,0.4429,185.0,24.0,"<table><tr><td>Authors:</td><td>kiyosawa, h; kudo, i; nishioka, j; noiri, y; tsuda, a</td></tr><tr><td>Title:</td><td>influence of iron and temperature on growth, nutrient utilization ratios and phytoplankton species composition in the western subarctic pacific ocean during the seeds experiment</td></tr><tr><td>Source:</td><td>progress in oceanography, 64(2-4), 149-166</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"
86.0,ishita (2005),,18.0,19.0,2.0,http://dx.doi.org/10.1016/j.pocean.2005.02.005,2005.0,0.3506,0.3506,40.0,19.0,"<table><tr><td>Authors:</td><td>ishita, t; kinugasa, m; nishioka, j; okamura, k; sohrin, y; takeda, s; tsuda, a</td></tr><tr><td>Title:</td><td>dynamics of trace metals during the subarctic pacific iron experiment for ecosystem dynamics study (seeds2001)</td></tr><tr><td>Source:</td><td>progress in oceanography, 64(2-4), 129-147</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"
89.0,bouillon (2004),,9.0,24.0,2.0,http://dx.doi.org/10.1029/2004gl019536,2004.0,0.2128,0.2128,10.0,24.0,"<table><tr><td>Authors:</td><td>bouillon, rc; miller, wl</td></tr><tr><td>Title:</td><td>determination of apparent quantum yield spectra of dms photo-degradation in an in situ iron-induced northeast pacific ocean bloom</td></tr><tr><td>Source:</td><td>geophysical research letters, 31(6)</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"
90.0,achterberg (2004),,57.0,44.0,2.0,http://dx.doi.org/10.1071/en04053,2004.0,0.3902,0.3902,234.0,44.0,"<table><tr><td>Authors:</td><td>achterberg, ep; ussher, sj; worsfold, pj</td></tr><tr><td>Title:</td><td>marine biogeochemistry of iron</td></tr><tr><td>Source:</td><td>environmental chemistry, 1(2), 67-80</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"
91.0,gruber (2003),,45.0,58.0,2.0,http://dx.doi.org/10.1029/2003gl018458,2003.0,0.7222,0.7222,80.0,58.0,"<table><tr><td>Authors:</td><td>gruber, n; jin, x</td></tr><tr><td>Title:</td><td>offsetting the radiative benefit of ocean iron fertilization by enhancing n2o emissions</td></tr><tr><td>Source:</td><td>geophysical research letters, 30(24)</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"
92.0,bindraban (2003),,13.0,47.0,5.0,http://dx.doi.org/10.1016/s0308-521x(02)00077-x,2003.0,0.5852,0.5852,15.0,47.0,"<table><tr><td>Authors:</td><td>bindraban, ps; luijten, jc; vleeshouwers, lm; wolf, j</td></tr><tr><td>Title:</td><td>exploratory study on the land area required for global food supply and the potential global production of bioenergy</td></tr><tr><td>Source:</td><td>agricultural systems, 76(3), 841-861</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"
93.0,chang (2002),,51.0,30.0,1.0,http://dx.doi.org/10.1029/2002gb001914,2002.0,0.7782,0.7782,105.0,30.0,"<table><tr><td>Authors:</td><td>chang, ys; choi, sd; lee, k</td></tr><tr><td>Title:</td><td>large rate of uptake of atmospheric carbon dioxide by planted forest biomass in korea</td></tr><tr><td>Source:</td><td>global biogeochemical cycles, 16(4)</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"
94.0,brown (2002),,47.0,91.0,1.0,http://dx.doi.org/10.1098/rsta.2002.1020,2002.0,2.3606,2.3606,64.0,91.0,"<table><tr><td>Authors:</td><td>brown, s; malhi, y; meir, p</td></tr><tr><td>Title:</td><td>forests, carbon and global climate</td></tr><tr><td>Source:</td><td>philosophical transactions of the royal society of london series a-mathematical physical and engineering sciences, 360(1797), 1567-1591</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"
95.0,hall (2001),,50.0,75.0,2.0,http://dx.doi.org/10.1016/s0967-0645(01)00010-8,2001.0,1.2972,1.2972,244.0,75.0,"<table><tr><td>Authors:</td><td>hall, ja; safi, k</td></tr><tr><td>Title:</td><td>the impact of in situ fe fertilisation on the microbial food web in the southern ocean</td></tr><tr><td>Source:</td><td>deep-sea research part ii-topical studies in oceanography, 48(11-12), 2591-2613</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
96.0,boyd (2001),,53.0,68.0,2.0,http://dx.doi.org/10.1016/s0967-0645(01)00009-1,2001.0,1.1761,1.1761,355.0,68.0,"<table><tr><td>Authors:</td><td>boyd, pw; gall, mp; maldonado, m; strzepek, r</td></tr><tr><td>Title:</td><td>phytoplankton processes. part 2. rates of primary production and factors controlling algal growth during the southern ocean iron release experiment (soiree)</td></tr><tr><td>Source:</td><td>deep-sea research part ii-topical studies in oceanography, 48(11-12), 2571-2590</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
97.0,boyd (2001),,58.0,71.0,2.0,http://dx.doi.org/10.1016/s0967-0645(01)00002-9,2001.0,1.228,1.228,372.0,71.0,"<table><tr><td>Authors:</td><td>boyd, pw; law, cs</td></tr><tr><td>Title:</td><td>the southern ocean iron release experiment (soiree) - introduction and summary</td></tr><tr><td>Source:</td><td>deep-sea research part ii-topical studies in oceanography, 48(11-12), 2425-2438</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
98.0,mosnaim (2001),,4.0,4.0,3.0,http://dx.doi.org/10.1016/s0301-4215(00)00160-9,2001.0,0.0692,0.0692,7.0,4.0,"<table><tr><td>Authors:</td><td>mosnaim, a</td></tr><tr><td>Title:</td><td>estimating co2 abatement and sequestration potentials for chile</td></tr><tr><td>Source:</td><td>energy policy, 29(8), 631-640</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"
99.0,bidigare (2000),,46.0,79.0,2.0,http://dx.doi.org/10.3354/meps201027,2000.0,0.5593,0.5593,180.0,79.0,"<table><tr><td>Authors:</td><td>bidigare, rr; brown, sl; coale, kh; constantinou, j; fitzwater, s; landry, mr; ondrusek, me; tanner, sj</td></tr><tr><td>Title:</td><td>biological response to iron fertilization in the eastern equatorial pacific (ironex ii). i. microplankton community abundances and biomass</td></tr><tr><td>Source:</td><td>marine ecology progress series, 201, 27-42</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"
100.0,hillel (2000),,49.0,40.0,3.0,http://dx.doi.org/10.1097/00010694-200001000-00007,2000.0,0.2832,0.2832,60.0,40.0,"<table><tr><td>Authors:</td><td>hillel, d; rosenzweig, c</td></tr><tr><td>Title:</td><td>soils and global climate change: challenges and opportunities</td></tr><tr><td>Source:</td><td>soil science, 165(1), 47-56</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"
101.0,caldeira (2000),,8.0,57.0,5.0,http://dx.doi.org/10.1029/1999gl002364,2000.0,0.4036,0.4036,16.0,57.0,"<table><tr><td>Authors:</td><td>caldeira, k; rau, gh</td></tr><tr><td>Title:</td><td>accelerating carbonate dissolution to sequester carbon dioxide in the ocean: geochemical implications</td></tr><tr><td>Source:</td><td>geophysical research letters, 27(2), 225-228</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"
102.0,caldeira (1999),,5.0,44.0,5.0,http://dx.doi.org/10.1016/s0196-8904(99)00071-0,1999.0,1.145,1.145,11.0,44.0,"<table><tr><td>Authors:</td><td>caldeira, k; rau, gh</td></tr><tr><td>Title:</td><td>enhanced carbonate dissolution: a means of sequestering waste co2 as ocean bicarbonate</td></tr><tr><td>Source:</td><td>energy conversion and management, 40(17), 1803-1813</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"
103.0,niskanen (1998),,9.0,12.0,4.0,http://dx.doi.org/10.1016/s0921-8009(97)00121-3,1998.0,0.2093,0.2093,12.0,12.0,"<table><tr><td>Authors:</td><td>niskanen, a</td></tr><tr><td>Title:</td><td>value of external environmental impacts of reforestation in thailand</td></tr><tr><td>Source:</td><td>ecological economics, 26(3), 287-297</td></tr><tr><td>Year:</td><td>1998</td></tr></table>"
104.0,unruh (1995),,9.0,0.0,4.0,http://dx.doi.org/10.1179/isr.1995.20.3.215,1995.0,0.0,0.0,102.0,0.0,"<table><tr><td>Authors:</td><td>unruh, j, d.</td></tr><tr><td>Title:</td><td>agroforestry, reforestry, and the carbon problem: the role of land and tree tenure</td></tr><tr><td>Source:</td><td>interdiscip. sci. rev., 20, 215-227</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"
105.0,audus (2005),,1.0,0.0,5.0,http://dx.doi.org/10.1016/b978-008044704-9/50020-3,2005.0,0.0,0.0,1.0,0.0,"<table><tr><td>Authors:</td><td>audus, h.; freund, p.</td></tr><tr><td>Title:</td><td>climate change mitigation by biomass gasification combined with co2 capture and storage</td></tr><tr><td>Source:</td><td>greenhouse gas con. tech., , 187-197</td></tr><tr><td>Year:</td><td>2005</td></tr></table>"
107.0,chang (1999),,1.0,0.0,4.0,http://dx.doi.org/10.1007/bf03353911,1999.0,0.0,0.0,2.0,0.0,"<table><tr><td>Authors:</td><td>chang, c.-c.</td></tr><tr><td>Title:</td><td>carbon sequestration cost by afforestation in taiwan</td></tr><tr><td>Source:</td><td>environ. econ. policy stud., 2, 199-213</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"
